tanaman,gejala,manfaat,efek_samping,referensi
Ciplukan (Physalis angulata),"radikal bebas, peradangan, nyeri sendi","antioksidan, antiinflamasi, antihipertensi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, nyeri otot, peradangan, radikal bebas","antioksidan, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia."
Ciplukan (Physalis angulata),"nyeri sendi, radikal bebas","antioksidan, antidiabetes","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, nyeri otot, peradangan","antiinflamasi, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Ciplukan (Physalis angulata),"gangguan imun, nyeri sendi","antidiabetes, antiinflamasi, imunomodulator","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, nyeri sendi, nyeri otot, radikal bebas","antioksidan, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141."
Ciplukan (Physalis angulata),"gangguan imun, diabetes, stres oksidatif","antioksidan, antidiabetes, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6."
Sirih Cina (Peperomia pellucida),"radikal bebas, infeksi bakteri, nyeri sendi","antiinflamasi, analgesik, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Ciplukan (Physalis angulata),"diabetes, stres oksidatif, radikal bebas","imunomodulator, antidiabetes, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Sirih Cina (Peperomia pellucida),"nyeri otot, peradangan, infeksi bakteri","antimikroba, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Ciplukan (Physalis angulata),"nyeri sendi, stres oksidatif, peradangan","antiinflamasi, imunomodulator","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Sirih Cina (Peperomia pellucida),"peradangan, nyeri otot, radikal bebas, infeksi bakteri","antiinflamasi, analgesik, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6."
Ciplukan (Physalis angulata),"peradangan, hipertensi, diabetes","antioksidan, imunomodulator","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465."
Sirih Cina (Peperomia pellucida),"nyeri otot, infeksi bakteri","analgesik, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6."
Ciplukan (Physalis angulata),"radikal bebas, hipertensi","antiinflamasi, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Sirih Cina (Peperomia pellucida),"radikal bebas, nyeri otot","antioksidan, antiinflamasi, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Ciplukan (Physalis angulata),"stres oksidatif, radikal bebas, peradangan","antioksidan, antihipertensi, antidiabetes","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, peradangan, nyeri otot","antiinflamasi, analgesik, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141."
Ciplukan (Physalis angulata),"diabetes, hipertensi, stres oksidatif","imunomodulator, antiinflamasi, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, peradangan","antiinflamasi, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465."
Ciplukan (Physalis angulata),"radikal bebas, stres oksidatif","antioksidan, imunomodulator, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Sirih Cina (Peperomia pellucida),"nyeri otot, peradangan, infeksi bakteri","analgesik, antioksidan, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Ciplukan (Physalis angulata),"diabetes, gangguan imun, hipertensi, peradangan","antiinflamasi, imunomodulator","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Sirih Cina (Peperomia pellucida),"infeksi bakteri, peradangan","antimikroba, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Ciplukan (Physalis angulata),"gangguan imun, nyeri sendi","antihipertensi, antioksidan, imunomodulator","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Sirih Cina (Peperomia pellucida),"nyeri otot, peradangan","analgesik, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Ciplukan (Physalis angulata),"gangguan imun, radikal bebas","antiinflamasi, antioksidan, antidiabetes","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Sirih Cina (Peperomia pellucida),"nyeri sendi, peradangan","antiinflamasi, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Ciplukan (Physalis angulata),"radikal bebas, nyeri sendi, peradangan, hipertensi","antiinflamasi, antihipertensi, imunomodulator","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; HL, R., & Kekuda, T. P. (2018). Ethnobotanical uses, phytochemistry and pharmacological activities of Peperomia pellucida (L.) Kunth. Int. J. Pharm. Pharm. Sci, 10(2), 1-6."
